t 	 Richness 	 Shannon Index 
529 	 113 	 2.036853 	 0.430862 
530 	 115 	 2.029637 	 0.427748 
531 	 114 	 2.025471 	 0.427658 
532 	 114 	 2.019443 	 0.426385 
533 	 114 	 2.012228 	 0.424861 
534 	 116 	 2.002760 	 0.421315 
535 	 117 	 1.994462 	 0.418813 
536 	 121 	 1.981488 	 0.413172 
537 	 125 	 1.976629 	 0.409383 
538 	 126 	 1.967448 	 0.406810 
539 	 130 	 1.960847 	 0.402842 
540 	 134 	 1.951183 	 0.398376 
541 	 138 	 1.944384 	 0.394618 
542 	 141 	 1.935729 	 0.391154 
543 	 140 	 1.929927 	 0.390544 
544 	 140 	 1.923887 	 0.389321 
545 	 137 	 1.918482 	 0.389937 
546 	 129 	 1.915025 	 0.394053 
547 	 126 	 1.912160 	 0.395378 
548 	 126 	 1.910418 	 0.395018 
549 	 126 	 1.908516 	 0.394625 
550 	 124 	 1.906959 	 0.395612 
551 	 124 	 1.905957 	 0.395404 
552 	 126 	 1.906302 	 0.394167 
553 	 126 	 1.909183 	 0.394762 
554 	 130 	 1.917534 	 0.393944 
555 	 132 	 1.925908 	 0.394427 
556 	 138 	 1.939535 	 0.393634 
557 	 143 	 1.963053 	 0.395550 
558 	 149 	 1.993929 	 0.398471 
559 	 150 	 2.004531 	 0.400055 
560 	 152 	 2.022514 	 0.402580 
561 	 151 	 2.035533 	 0.405705 
562 	 148 	 2.049188 	 0.410066 
563 	 138 	 2.055566 	 0.417183 
564 	 134 	 2.059187 	 0.420428 
565 	 134 	 2.064733 	 0.421560 
566 	 134 	 2.069363 	 0.422505 
567 	 133 	 2.076588 	 0.424630 
568 	 129 	 2.081384 	 0.428285 
569 	 126 	 2.091286 	 0.432416 
570 	 128 	 2.101001 	 0.433015 
571 	 128 	 2.114705 	 0.435839 
572 	 128 	 2.122927 	 0.437534 
573 	 130 	 2.134211 	 0.438458 
574 	 131 	 2.134442 	 0.437816 
575 	 132 	 2.131092 	 0.436449 
576 	 128 	 2.121571 	 0.437254 
577 	 129 	 2.115171 	 0.435237 
578 	 132 	 2.104384 	 0.430979 
579 	 135 	 2.095210 	 0.427134 
580 	 133 	 2.089767 	 0.427325 
581 	 137 	 2.083028 	 0.423381 
582 	 135 	 2.077716 	 0.423568 
583 	 133 	 2.074565 	 0.424216 
584 	 134 	 2.072597 	 0.423166 
585 	 131 	 2.069587 	 0.424514 
586 	 125 	 2.066560 	 0.428009 
587 	 125 	 2.064334 	 0.427548 
588 	 124 	 2.059105 	 0.427175 
589 	 126 	 2.052704 	 0.424438 
590 	 130 	 2.040503 	 0.419207 
591 	 132 	 2.018551 	 0.413400 
592 	 134 	 1.987261 	 0.405742 
593 	 134 	 1.956816 	 0.399526 
594 	 132 	 1.907066 	 0.390568 
595 	 134 	 1.881731 	 0.384196 
596 	 133 	 1.842291 	 0.376720 
597 	 136 	 1.802842 	 0.366979 
598 	 134 	 1.758161 	 0.358967 
599 	 137 	 1.740901 	 0.353843 
600 	 136 	 1.698337 	 0.345707 
601 	 136 	 1.675483 	 0.341054 
602 	 137 	 1.650961 	 0.335563 
603 	 136 	 1.618668 	 0.329490 
604 	 136 	 1.568820 	 0.319343 
605 	 138 	 1.555012 	 0.315594 
606 	 135 	 1.519854 	 0.309841 
607 	 137 	 1.483787 	 0.301584 
608 	 134 	 1.436180 	 0.293227 
609 	 135 	 1.419582 	 0.289399 
610 	 138 	 1.411571 	 0.286482 
611 	 144 	 1.428602 	 0.287456 
612 	 147 	 1.491009 	 0.298773 
613 	 130 	 1.663791 	 0.341814 
614 	 131 	 1.740405 	 0.356992 
615 	 134 	 1.942426 	 0.396588 
616 	 139 	 2.024347 	 0.410246 
617 	 149 	 2.107548 	 0.421177 
618 	 155 	 2.158215 	 0.427926 
619 	 157 	 2.192442 	 0.433611 
620 	 160 	 2.202806 	 0.434036 
621 	 158 	 2.218230 	 0.438161 
622 	 153 	 2.230720 	 0.443445 
623 	 151 	 2.233922 	 0.445246 
624 	 151 	 2.239669 	 0.446391 
625 	 131 	 2.248385 	 0.461189 
626 	 130 	 2.252710 	 0.462803 
627 	 127 	 2.257976 	 0.466121 
628 	 126 	 2.264665 	 0.468266 
629 	 126 	 2.269823 	 0.469332 
630 	 123 	 2.278555 	 0.473497 
631 	 124 	 2.283748 	 0.473779 
632 	 125 	 2.290665 	 0.474423 
633 	 127 	 2.310401 	 0.476943 
634 	 128 	 2.331493 	 0.480519 
635 	 129 	 2.335036 	 0.480479 
636 	 131 	 2.369250 	 0.485980 
637 	 134 	 2.388605 	 0.487685 
638 	 138 	 2.406789 	 0.488465 
639 	 142 	 2.415353 	 0.487376 
640 	 145 	 2.408636 	 0.483979 
641 	 137 	 2.386973 	 0.485159 
642 	 139 	 2.369851 	 0.480264 
643 	 142 	 2.348786 	 0.473944 
644 	 142 	 2.341697 	 0.472514 
645 	 139 	 2.330196 	 0.472228 
646 	 136 	 2.321063 	 0.472466 
