t 	 Richness 	 Shannon Index 	 Evenness 
382 	 9 	 0.809536 	 0.368436 
383 	 9 	 0.804066 	 0.365946 
384 	 9 	 0.797443 	 0.362932 
385 	 9 	 0.792240 	 0.360564 
386 	 9 	 0.787148 	 0.358247 
387 	 9 	 0.782160 	 0.355976 
388 	 9 	 0.777271 	 0.353751 
389 	 9 	 0.772479 	 0.351570 
390 	 9 	 0.767779 	 0.349431 
391 	 9 	 0.763167 	 0.347332 
392 	 9 	 0.758641 	 0.345273 
393 	 9 	 0.754199 	 0.343251 
394 	 9 	 0.749839 	 0.341266 
395 	 9 	 0.745559 	 0.339318 
396 	 9 	 0.741357 	 0.337406 
397 	 9 	 0.737233 	 0.335529 
398 	 9 	 0.733186 	 0.333687 
399 	 9 	 0.729215 	 0.331880 
400 	 9 	 0.725321 	 0.330108 
401 	 9 	 0.721504 	 0.328370 
402 	 9 	 0.717765 	 0.326669 
403 	 9 	 0.714103 	 0.325002 
404 	 9 	 0.710520 	 0.323372 
405 	 9 	 0.707022 	 0.321779 
406 	 9 	 0.703604 	 0.320224 
407 	 9 	 0.700269 	 0.318706 
408 	 9 	 0.697023 	 0.317229 
409 	 9 	 0.693864 	 0.315791 
410 	 9 	 0.690799 	 0.314396 
411 	 9 	 0.687828 	 0.313044 
412 	 8 	 0.684907 	 0.329371 
413 	 8 	 0.682140 	 0.328040 
414 	 7 	 0.679435 	 0.349160 
415 	 7 	 0.676883 	 0.347849 
416 	 7 	 0.674447 	 0.346597 
417 	 7 	 0.672127 	 0.345405 
418 	 7 	 0.669932 	 0.344277 
419 	 7 	 0.667864 	 0.343214 
420 	 7 	 0.665928 	 0.342220 
421 	 7 	 0.664134 	 0.341297 
422 	 7 	 0.662481 	 0.340448 
423 	 7 	 0.660981 	 0.339677 
424 	 7 	 0.659636 	 0.338986 
425 	 7 	 0.658455 	 0.338379 
426 	 7 	 0.657443 	 0.337859 
427 	 7 	 0.656607 	 0.337429 
428 	 7 	 0.655955 	 0.337094 
429 	 7 	 0.655493 	 0.336857 
430 	 7 	 0.655229 	 0.336721 
431 	 7 	 0.655171 	 0.336691 
432 	 7 	 0.655325 	 0.336770 
433 	 7 	 0.655698 	 0.336962 
434 	 7 	 0.656298 	 0.337271 
435 	 7 	 0.657135 	 0.337701 
436 	 7 	 0.658213 	 0.338255 
437 	 7 	 0.659543 	 0.338938 
438 	 7 	 0.661131 	 0.339754 
439 	 7 	 0.662982 	 0.340705 
440 	 7 	 0.665105 	 0.341797 
441 	 7 	 0.667507 	 0.343031 
442 	 7 	 0.670193 	 0.344411 
443 	 7 	 0.673169 	 0.345941 
444 	 7 	 0.676441 	 0.347622 
445 	 7 	 0.680014 	 0.349458 
446 	 7 	 0.683891 	 0.351451 
447 	 7 	 0.688076 	 0.353601 
448 	 7 	 0.692571 	 0.355911 
449 	 7 	 0.697377 	 0.358381 
450 	 7 	 0.702495 	 0.361011 
451 	 7 	 0.707926 	 0.363802 
452 	 7 	 0.713664 	 0.366751 
453 	 7 	 0.715178 	 0.367529 
454 	 6 	 0.721291 	 0.402560 
455 	 6 	 0.727716 	 0.406146 
456 	 6 	 0.739034 	 0.412463 
457 	 6 	 0.746218 	 0.416472 
458 	 6 	 0.750625 	 0.418932 
459 	 6 	 0.758231 	 0.423177 
460 	 6 	 0.766083 	 0.427559 
461 	 6 	 0.774168 	 0.432071 
462 	 6 	 0.782461 	 0.436700 
463 	 6 	 0.790952 	 0.441439 
464 	 6 	 0.799617 	 0.446275 
465 	 6 	 0.808432 	 0.451194 
466 	 6 	 0.817373 	 0.456185 
467 	 6 	 0.826420 	 0.461234 
468 	 6 	 0.835540 	 0.466324 
469 	 6 	 0.844710 	 0.471442 
470 	 6 	 0.853900 	 0.476571 
471 	 6 	 0.863081 	 0.481695 
472 	 6 	 0.873714 	 0.487629 
473 	 6 	 0.882780 	 0.492689 
474 	 6 	 0.891749 	 0.497694 
475 	 6 	 0.900590 	 0.502629 
476 	 6 	 0.909277 	 0.507477 
477 	 6 	 0.917786 	 0.512226 
478 	 6 	 0.929452 	 0.518737 
479 	 6 	 0.937432 	 0.523191 
480 	 6 	 0.945078 	 0.527458 
481 	 6 	 0.952537 	 0.531621 
482 	 6 	 0.959705 	 0.535622 
483 	 6 	 0.966576 	 0.539456 
484 	 6 	 0.973137 	 0.543118 
485 	 6 	 0.979381 	 0.546603 
486 	 6 	 0.985303 	 0.549908 
487 	 6 	 0.990901 	 0.553032 
488 	 6 	 0.996175 	 0.555976 
489 	 6 	 1.001128 	 0.558740 
490 	 5 	 1.005757 	 0.624912 
491 	 4 	 1.010077 	 0.728616 
492 	 4 	 1.014105 	 0.731522 
493 	 4 	 1.017845 	 0.734220 
494 	 4 	 1.021310 	 0.736719 
495 	 4 	 1.024513 	 0.739030 
496 	 4 	 1.027471 	 0.741164 
497 	 4 	 1.030200 	 0.743132 
498 	 4 	 1.032718 	 0.744948 
499 	 4 	 1.035042 	 0.746625 
500 	 4 	 1.037193 	 0.748177 
501 	 4 	 1.039190 	 0.749617 
502 	 4 	 1.041051 	 0.750959 
503 	 4 	 1.042798 	 0.752219 
504 	 4 	 1.044449 	 0.753411 
505 	 4 	 1.046026 	 0.754548 
506 	 4 	 1.047547 	 0.755645 
507 	 4 	 1.049033 	 0.756717 
508 	 4 	 1.050503 	 0.757777 
509 	 4 	 1.051974 	 0.758839 
510 	 4 	 1.053468 	 0.759916 
511 	 4 	 1.055001 	 0.761023 
512 	 4 	 1.056593 	 0.762170 
513 	 4 	 1.058260 	 0.763373 
514 	 4 	 1.060019 	 0.764642 
515 	 4 	 1.061889 	 0.765991 
516 	 4 	 1.063884 	 0.767430 
517 	 4 	 1.066021 	 0.768972 
518 	 4 	 1.068317 	 0.770628 
519 	 4 	 1.070785 	 0.772408 
520 	 4 	 1.073440 	 0.774323 
521 	 4 	 1.076297 	 0.776384 
522 	 4 	 1.079369 	 0.778600 
523 	 4 	 1.082667 	 0.780979 
524 	 4 	 1.086207 	 0.783532 
525 	 4 	 1.089996 	 0.786266 
526 	 4 	 1.094047 	 0.789188 
527 	 4 	 1.098369 	 0.792305 
528 	 4 	 1.100517 	 0.793855 
529 	 4 	 1.105252 	 0.797270 
530 	 4 	 1.110274 	 0.800893 
531 	 4 	 1.115588 	 0.804727 
532 	 4 	 1.121198 	 0.808773 
533 	 4 	 1.127102 	 0.813032 
534 	 4 	 1.133297 	 0.817501 
535 	 4 	 1.139780 	 0.822178 
536 	 4 	 1.146541 	 0.827055 
537 	 4 	 1.153569 	 0.832124 
538 	 4 	 1.160849 	 0.837375 
539 	 4 	 1.168358 	 0.842792 
540 	 4 	 1.176074 	 0.848358 
541 	 4 	 1.183966 	 0.854051 
542 	 4 	 1.191999 	 0.859845 
543 	 4 	 1.200130 	 0.865711 
544 	 4 	 1.208313 	 0.871613 
545 	 4 	 1.216493 	 0.877514 
546 	 4 	 1.224608 	 0.883368 
547 	 4 	 1.232591 	 0.889126 
548 	 4 	 1.240367 	 0.894736 
549 	 4 	 1.247853 	 0.900135 
550 	 4 	 1.254960 	 0.905262 
551 	 4 	 1.261594 	 0.910048 
552 	 4 	 1.267651 	 0.914417 
553 	 4 	 1.273029 	 0.918296 
554 	 4 	 1.277616 	 0.921605 
555 	 4 	 1.281300 	 0.924263 
556 	 4 	 1.283967 	 0.926187 
557 	 4 	 1.285504 	 0.927295 
558 	 4 	 1.285803 	 0.927511 
559 	 4 	 1.284754 	 0.926754 
560 	 4 	 1.282259 	 0.924955 
561 	 4 	 1.278229 	 0.922047 
562 	 4 	 1.272582 	 0.917974 
563 	 4 	 1.265251 	 0.912686 
564 	 4 	 1.256185 	 0.906146 
565 	 4 	 1.245348 	 0.898329 
566 	 4 	 1.232723 	 0.889222 
567 	 4 	 1.218312 	 0.878826 
568 	 4 	 1.202133 	 0.867156 
569 	 4 	 1.184229 	 0.854241 
570 	 4 	 1.164660 	 0.840125 
571 	 4 	 1.143501 	 0.824862 
572 	 4 	 1.120848 	 0.808521 
573 	 4 	 1.096811 	 0.791182 
574 	 4 	 1.071513 	 0.772933 
575 	 4 	 1.045088 	 0.753872 
576 	 4 	 1.017678 	 0.734100 
577 	 4 	 0.989431 	 0.713723 
578 	 4 	 0.960499 	 0.692854 
579 	 4 	 0.931034 	 0.671599 
580 	 4 	 0.901188 	 0.650070 
581 	 4 	 0.871105 	 0.628369 
582 	 4 	 0.840929 	 0.606602 
583 	 4 	 0.810795 	 0.584865 
584 	 4 	 0.780825 	 0.563246 
585 	 4 	 0.751136 	 0.541830 
586 	 4 	 0.721836 	 0.520695 
587 	 4 	 0.693019 	 0.499907 
588 	 4 	 0.664767 	 0.479528 
589 	 4 	 0.637154 	 0.459609 
590 	 4 	 0.610242 	 0.440196 
